Départ;Arrivée;Nombre de circulations assurées;Nombre de trains en retard à l'arrivée
PARIS MONTPARNASSE;ANGOULEME;313;16
ANGOULEME;PARIS MONTPARNASSE;335;33
PARIS MONTPARNASSE;BORDEAUX ST JEAN;643;24
BORDEAUX ST JEAN;PARIS MONTPARNASSE;673;65
PARIS MONTPARNASSE;BREST;178;7
BREST;PARIS MONTPARNASSE;181;10
PARIS MONTPARNASSE;LA ROCHELLE VILLE;225;6
LA ROCHELLE VILLE;PARIS MONTPARNASSE;224;14
PARIS MONTPARNASSE;LE MANS;449;41
LE MANS;PARIS MONTPARNASSE;458;58
PARIS MONTPARNASSE;NANTES;558;32
NANTES;PARIS MONTPARNASSE;572;43
PARIS MONTPARNASSE;POITIERS;497;16
POITIERS;PARIS MONTPARNASSE;502;34
PARIS MONTPARNASSE;QUIMPER;161;7
QUIMPER;PARIS MONTPARNASSE;147;14
PARIS MONTPARNASSE;RENNES;559;19
RENNES;PARIS MONTPARNASSE;568;51
PARIS MONTPARNASSE;TOULOUSE MATABIAU;151;18
TOULOUSE MATABIAU;PARIS MONTPARNASSE;87;18
PARIS MONTPARNASSE;TOURS;159;23
TOURS;PARIS MONTPARNASSE;185;20
PARIS MONTPARNASSE;ST PIERRE DES CORPS;456;36
ST PIERRE DES CORPS;PARIS MONTPARNASSE;444;76
PARIS MONTPARNASSE;ANGERS SAINT LAUD;439;32
ANGERS SAINT LAUD;PARIS MONTPARNASSE;461;36
PARIS MONTPARNASSE;VANNES;182;5
VANNES;PARIS MONTPARNASSE;174;16
PARIS MONTPARNASSE;LAVAL;238;10
LAVAL;PARIS MONTPARNASSE;243;21
PARIS MONTPARNASSE;ST MALO;55;1
ST MALO;PARIS MONTPARNASSE;101;7
LYON PART DIEU;RENNES;31;1
RENNES;LYON PART DIEU;71;7
METZ;PARIS EST;298;44
PARIS EST;METZ;314;43
PARIS EST;NANCY;293;42
NANCY;PARIS EST;293;44
PARIS EST;REIMS;225;29
REIMS;PARIS EST;218;41
PARIS EST;STRASBOURG;478;93
STRASBOURG;PARIS EST;476;99
NANTES;STRASBOURG;50;10
STRASBOURG;NANTES;50;4
PARIS NORD;ARRAS;340;36
ARRAS;PARIS NORD;331;28
PARIS NORD;DUNKERQUE;129;6
DUNKERQUE;PARIS NORD;87;1
PARIS NORD;LILLE;602;46
LILLE;PARIS NORD;599;53
LILLE;LYON PART DIEU;309;56
LYON PART DIEU;LILLE;255;63
LILLE;MARSEILLE ST CHARLES;157;50
MARSEILLE ST CHARLES;LILLE;129;31
PARIS NORD;DOUAI;207;21
DOUAI;PARIS NORD;204;18
PARIS-LYON;AVIGNON TGV;410;45
AVIGNON TGV;PARIS-LYON;332;45
PARIS-LYON;BESANCON-FRANCHE-COMTE-TGV;236;26
BESANCON-FRANCHE-COMTE-TGV;PARIS-LYON;213;20
PARIS-LYON;CHAMBERY CHALLES LES EAUX;265;42
CHAMBERY CHALLES LES EAUX;PARIS-LYON;251;38
PARIS-LYON;DIJON VILLE;466;34
DIJON VILLE;PARIS-LYON;463;65
PARIS-LYON;GRENOBLE;250;24
GRENOBLE;PARIS-LYON;230;19
PARIS-LYON;LYON PART DIEU;618;34
LYON PART DIEU;PARIS-LYON;632;28
PARIS-LYON;MARSEILLE ST CHARLES;513;43
MARSEILLE ST CHARLES;PARIS-LYON;485;33
PARIS-LYON;MONTPELLIER;345;37
MONTPELLIER;PARIS-LYON;366;31
PARIS-LYON;NICE VILLE;152;32
NICE VILLE;PARIS-LYON;152;29
PARIS-LYON;NIMES;346;53
NIMES;PARIS-LYON;366;47
PARIS-LYON;PERPIGNAN;159;19
PERPIGNAN;PARIS-LYON;155;13
PARIS-LYON;TOULON;196;37
TOULON;PARIS-LYON;204;28
PARIS-LYON;VALENCE-ALIXAN TGV;266;35
VALENCE-ALIXAN TGV;PARIS-LYON;247;37
PARIS-LYON;SAINT ETIENNE CHATEAUCREUX;117;18
SAINT ETIENNE CHATEAUCREUX;PARIS-LYON;114;13
PARIS-LYON;BELLEGARDE (AIN );275;98
BELLEGARDE (AIN );PARIS-LYON;271;84
PARIS-LYON;AIX-EN-PROVENCE-TGV;386;60
AIX-EN-PROVENCE-TGV;PARIS-LYON;398;61
PARIS-LYON;ANNECY;182;21
ANNECY;PARIS-LYON;153;13
PARIS-LYON;LE CREUSOT-MONTCEAU-MONTCHANIN;202;27
LE CREUSOT-MONTCEAU-MONTCHANIN;PARIS-LYON;220;29
PARIS-LYON;MACON LOCHE;218;18
MACON LOCHE;PARIS-LYON;195;17
LYON PART DIEU;MARSEILLE ST CHARLES;636;170
MARSEILLE ST CHARLES;LYON PART DIEU;594;117
LYON PART DIEU;MONTPELLIER;399;95
MONTPELLIER;LYON PART DIEU;356;68
PARIS-LYON;MULHOUSE VILLE;307;25
MULHOUSE VILLE;PARIS-LYON;315;31
PARIS-LYON;GENEVE;254;
GENEVE;PARIS-LYON;247;55
PARIS-LYON;ZURICH;179;
ZURICH;PARIS-LYON;180;13
PARIS-LYON;LAUSANNE;129;
LAUSANNE;PARIS-LYON;132;26
PARIS NORD;BELGIQUE-PAYS-BAS;684;
BELGIQUE-PAYS-BAS;PARIS NORD;621;101
PARIS EST;FRANCFORT;134;
FRANCFORT;PARIS EST;136;49
PARIS EST;STUTTGART;120;
STUTTGART;PARIS EST;112;23
PARIS-LYON;ITALIE;93;
ITALIE;PARIS-LYON;93;16
