Départ;Arrivée;Nombre de circulations assurées;Nombre de trains en retard à l'arrivée
PARIS MONTPARNASSE;ANGOULEME;321;31
ANGOULEME;PARIS MONTPARNASSE;348;91
PARIS MONTPARNASSE;BORDEAUX ST JEAN;644;55
BORDEAUX ST JEAN;PARIS MONTPARNASSE;639;107
PARIS MONTPARNASSE;BREST;154;9
BREST;PARIS MONTPARNASSE;167;10
PARIS MONTPARNASSE;LA ROCHELLE VILLE;217;30
LA ROCHELLE VILLE;PARIS MONTPARNASSE;215;34
PARIS MONTPARNASSE;LE MANS;442;35
LE MANS;PARIS MONTPARNASSE;477;159
PARIS MONTPARNASSE;NANTES;556;48
NANTES;PARIS MONTPARNASSE;566;80
PARIS MONTPARNASSE;POITIERS;453;22
POITIERS;PARIS MONTPARNASSE;493;100
PARIS MONTPARNASSE;QUIMPER;157;11
QUIMPER;PARIS MONTPARNASSE;142;13
PARIS MONTPARNASSE;RENNES;547;28
RENNES;PARIS MONTPARNASSE;556;59
PARIS MONTPARNASSE;TOULOUSE MATABIAU;132;12
TOULOUSE MATABIAU;PARIS MONTPARNASSE;86;20
PARIS MONTPARNASSE;TOURS;199;14
TOURS;PARIS MONTPARNASSE;204;21
PARIS MONTPARNASSE;ST PIERRE DES CORPS;459;29
ST PIERRE DES CORPS;PARIS MONTPARNASSE;458;86
PARIS MONTPARNASSE;ANGERS SAINT LAUD;432;60
ANGERS SAINT LAUD;PARIS MONTPARNASSE;471;115
PARIS MONTPARNASSE;VANNES;180;13
VANNES;PARIS MONTPARNASSE;167;15
PARIS MONTPARNASSE;LAVAL;235;12
LAVAL;PARIS MONTPARNASSE;235;26
PARIS MONTPARNASSE;ST MALO;56;1
ST MALO;PARIS MONTPARNASSE;98;5
LYON PART DIEU;RENNES;30;3
RENNES;LYON PART DIEU;80;14
METZ;PARIS EST;289;24
PARIS EST;METZ;302;11
PARIS EST;NANCY;286;14
NANCY;PARIS EST;291;13
PARIS EST;REIMS;243;17
REIMS;PARIS EST;231;29
PARIS EST;STRASBOURG;449;29
STRASBOURG;PARIS EST;447;38
NANTES;STRASBOURG;57;7
STRASBOURG;NANTES;57;10
PARIS NORD;ARRAS;364;35
ARRAS;PARIS NORD;332;22
PARIS NORD;DUNKERQUE;153;6
DUNKERQUE;PARIS NORD;109;1
PARIS NORD;LILLE;607;48
LILLE;PARIS NORD;601;48
LILLE;LYON PART DIEU;300;51
LYON PART DIEU;LILLE;267;54
LILLE;MARSEILLE ST CHARLES;154;40
MARSEILLE ST CHARLES;LILLE;124;21
PARIS NORD;DOUAI;204;17
DOUAI;PARIS NORD;202;12
PARIS-LYON;AVIGNON TGV;382;33
AVIGNON TGV;PARIS-LYON;363;59
PARIS-LYON;BESANCON-FRANCHE-COMTE-TGV;230;22
BESANCON-FRANCHE-COMTE-TGV;PARIS-LYON;210;14
PARIS-LYON;CHAMBERY CHALLES LES EAUX;209;50
CHAMBERY CHALLES LES EAUX;PARIS-LYON;197;46
PARIS-LYON;DIJON VILLE;443;33
DIJON VILLE;PARIS-LYON;443;37
PARIS-LYON;GRENOBLE;247;38
GRENOBLE;PARIS-LYON;237;20
PARIS-LYON;LYON PART DIEU;615;56
LYON PART DIEU;PARIS-LYON;620;38
PARIS-LYON;MARSEILLE ST CHARLES;500;42
MARSEILLE ST CHARLES;PARIS-LYON;500;56
PARIS-LYON;MONTPELLIER;342;42
MONTPELLIER;PARIS-LYON;354;45
PARIS-LYON;NICE VILLE;153;30
NICE VILLE;PARIS-LYON;152;24
PARIS-LYON;NIMES;340;50
NIMES;PARIS-LYON;354;56
PARIS-LYON;PERPIGNAN;154;15
PERPIGNAN;PARIS-LYON;148;20
PARIS-LYON;TOULON;201;35
TOULON;PARIS-LYON;244;39
PARIS-LYON;VALENCE-ALIXAN TGV;261;43
VALENCE-ALIXAN TGV;PARIS-LYON;232;35
PARIS-LYON;SAINT ETIENNE CHATEAUCREUX;114;26
SAINT ETIENNE CHATEAUCREUX;PARIS-LYON;115;20
PARIS-LYON;BELLEGARDE (AIN );256;73
BELLEGARDE (AIN );PARIS-LYON;252;47
PARIS-LYON;AIX-EN-PROVENCE-TGV;388;43
AIX-EN-PROVENCE-TGV;PARIS-LYON;400;66
PARIS-LYON;ANNECY;199;23
ANNECY;PARIS-LYON;195;19
PARIS-LYON;LE CREUSOT-MONTCEAU-MONTCHANIN;198;32
LE CREUSOT-MONTCEAU-MONTCHANIN;PARIS-LYON;208;41
PARIS-LYON;MACON LOCHE;173;25
MACON LOCHE;PARIS-LYON;169;17
LYON PART DIEU;MARSEILLE ST CHARLES;600;151
MARSEILLE ST CHARLES;LYON PART DIEU;577;89
LYON PART DIEU;MONTPELLIER;362;82
MONTPELLIER;LYON PART DIEU;359;65
PARIS-LYON;MULHOUSE VILLE;299;18
MULHOUSE VILLE;PARIS-LYON;302;25
PARIS-LYON;GENEVE;248;
GENEVE;PARIS-LYON;238;32
PARIS-LYON;ZURICH;174;
ZURICH;PARIS-LYON;171;7
PARIS-LYON;LAUSANNE;122;
LAUSANNE;PARIS-LYON;125;10
PARIS NORD;BELGIQUE-PAYS-BAS;691;
BELGIQUE-PAYS-BAS;PARIS NORD;621;102
PARIS EST;FRANCFORT;142;
FRANCFORT;PARIS EST;145;37
PARIS EST;STUTTGART;111;
STUTTGART;PARIS EST;109;9
PARIS-LYON;ITALIE;90;
ITALIE;PARIS-LYON;90;15
