Départ;Arrivée;Nombre de circulations assurées;Nombre de trains en retard à l'arrivée
PARIS MONTPARNASSE;ANGOULEME;330;25
ANGOULEME;PARIS MONTPARNASSE;342;77
PARIS MONTPARNASSE;BORDEAUX ST JEAN;661;37
BORDEAUX ST JEAN;PARIS MONTPARNASSE;658;95
PARIS MONTPARNASSE;BREST;157;5
BREST;PARIS MONTPARNASSE;180;8
PARIS MONTPARNASSE;LA ROCHELLE VILLE;220;22
LA ROCHELLE VILLE;PARIS MONTPARNASSE;214;26
PARIS MONTPARNASSE;LE MANS;455;43
LE MANS;PARIS MONTPARNASSE;478;96
PARIS MONTPARNASSE;NANTES;578;27
NANTES;PARIS MONTPARNASSE;597;26
PARIS MONTPARNASSE;POITIERS;463;20
POITIERS;PARIS MONTPARNASSE;507;92
PARIS MONTPARNASSE;QUIMPER;164;7
QUIMPER;PARIS MONTPARNASSE;151;8
PARIS MONTPARNASSE;RENNES;572;49
RENNES;PARIS MONTPARNASSE;583;42
PARIS MONTPARNASSE;TOULOUSE MATABIAU;127;9
TOULOUSE MATABIAU;PARIS MONTPARNASSE;98;19
PARIS MONTPARNASSE;TOURS;210;20
TOURS;PARIS MONTPARNASSE;211;29
PARIS MONTPARNASSE;ST PIERRE DES CORPS;474;35
ST PIERRE DES CORPS;PARIS MONTPARNASSE;465;101
PARIS MONTPARNASSE;ANGERS SAINT LAUD;443;30
ANGERS SAINT LAUD;PARIS MONTPARNASSE;491;33
PARIS MONTPARNASSE;VANNES;186;10
VANNES;PARIS MONTPARNASSE;171;9
PARIS MONTPARNASSE;LAVAL;243;10
LAVAL;PARIS MONTPARNASSE;246;14
PARIS MONTPARNASSE;ST MALO;59;3
ST MALO;PARIS MONTPARNASSE;102;5
LYON PART DIEU;RENNES;34;3
RENNES;LYON PART DIEU;82;7
METZ;PARIS EST;302;20
PARIS EST;METZ;313;16
PARIS EST;NANCY;298;20
NANCY;PARIS EST;302;22
PARIS EST;REIMS;251;20
REIMS;PARIS EST;240;17
PARIS EST;STRASBOURG;484;59
STRASBOURG;PARIS EST;486;122
NANTES;STRASBOURG;60;5
STRASBOURG;NANTES;61;8
PARIS NORD;ARRAS;377;45
ARRAS;PARIS NORD;345;19
PARIS NORD;DUNKERQUE;159;11
DUNKERQUE;PARIS NORD;101;5
PARIS NORD;LILLE;634;76
LILLE;PARIS NORD;641;45
LILLE;LYON PART DIEU;305;41
LYON PART DIEU;LILLE;273;49
LILLE;MARSEILLE ST CHARLES;147;35
MARSEILLE ST CHARLES;LILLE;124;25
PARIS NORD;DOUAI;211;16
DOUAI;PARIS NORD;204;8
PARIS-LYON;AVIGNON TGV;378;33
AVIGNON TGV;PARIS-LYON;375;46
PARIS-LYON;BESANCON-FRANCHE-COMTE-TGV;240;16
BESANCON-FRANCHE-COMTE-TGV;PARIS-LYON;216;17
PARIS-LYON;CHAMBERY CHALLES LES EAUX;218;59
CHAMBERY CHALLES LES EAUX;PARIS-LYON;208;39
PARIS-LYON;DIJON VILLE;462;16
DIJON VILLE;PARIS-LYON;462;45
PARIS-LYON;GRENOBLE;244;29
GRENOBLE;PARIS-LYON;245;18
PARIS-LYON;LYON PART DIEU;627;30
LYON PART DIEU;PARIS-LYON;643;29
PARIS-LYON;MARSEILLE ST CHARLES;495;35
MARSEILLE ST CHARLES;PARIS-LYON;509;30
PARIS-LYON;MONTPELLIER;349;35
MONTPELLIER;PARIS-LYON;366;37
PARIS-LYON;NICE VILLE;164;31
NICE VILLE;PARIS-LYON;165;25
PARIS-LYON;NIMES;351;47
NIMES;PARIS-LYON;366;47
PARIS-LYON;PERPIGNAN;154;19
PERPIGNAN;PARIS-LYON;152;24
PARIS-LYON;TOULON;186;31
TOULON;PARIS-LYON;261;32
PARIS-LYON;VALENCE-ALIXAN TGV;264;43
VALENCE-ALIXAN TGV;PARIS-LYON;241;29
PARIS-LYON;SAINT ETIENNE CHATEAUCREUX;115;15
SAINT ETIENNE CHATEAUCREUX;PARIS-LYON;114;11
PARIS-LYON;BELLEGARDE (AIN );270;42
BELLEGARDE (AIN );PARIS-LYON;263;25
PARIS-LYON;AIX-EN-PROVENCE-TGV;397;65
AIX-EN-PROVENCE-TGV;PARIS-LYON;411;55
PARIS-LYON;ANNECY;206;16
ANNECY;PARIS-LYON;203;12
PARIS-LYON;LE CREUSOT-MONTCEAU-MONTCHANIN;208;116
LE CREUSOT-MONTCEAU-MONTCHANIN;PARIS-LYON;217;38
PARIS-LYON;MACON LOCHE;179;9
MACON LOCHE;PARIS-LYON;176;9
LYON PART DIEU;MARSEILLE ST CHARLES;592;152
MARSEILLE ST CHARLES;LYON PART DIEU;587;101
LYON PART DIEU;MONTPELLIER;366;78
MONTPELLIER;LYON PART DIEU;363;74
PARIS-LYON;MULHOUSE VILLE;307;18
MULHOUSE VILLE;PARIS-LYON;311;33
PARIS-LYON;GENEVE;261;
GENEVE;PARIS-LYON;254;12
PARIS-LYON;ZURICH;179;
ZURICH;PARIS-LYON;179;11
PARIS-LYON;LAUSANNE;124;
LAUSANNE;PARIS-LYON;129;11
PARIS NORD;BELGIQUE-PAYS-BAS;735;
BELGIQUE-PAYS-BAS;PARIS NORD;654;105
PARIS EST;FRANCFORT;145;
FRANCFORT;PARIS EST;145;60
PARIS EST;STUTTGART;120;
STUTTGART;PARIS EST;119;34
PARIS-LYON;ITALIE;90;
ITALIE;PARIS-LYON;93;14
